KTNR,KT,Kanton,Canton,Cantone,URL
1,ZH,Zürich,Zurich,Zurigo,https://www.termdat.ch/entry/103824
2,BE,Bern,Berne,Berna,https://www.termdat.ch/entry/109522
3,LU,Luzern,Lucerne,Lucerna,https://www.termdat.ch/entry/109523
4,UR,Uri,Uri,Uri,https://www.termdat.ch/entry/109524
5,SZ,Schwyz,Schwyz,Svitto,https://www.termdat.ch/entry/109525
6,OW,Obwalden,Obwald,Obvaldo,https://www.termdat.ch/entry/109526
7,NW,Nidwalden,Nidwald,Nidwaldo,https://www.termdat.ch/entry/109527
8,GL,Glarus,Glaris,Glarona,https://www.termdat.ch/entry/109528
9,ZG,Zug,Zoug,Zugo,https://www.termdat.ch/entry/109529
10,FR,Freiburg,Fribourg,Friburgo,https://www.termdat.ch/entry/109530
11,SO,Solothurn,Soleure,Soletta,https://www.termdat.ch/entry/109531
12,BS,Basel-Stadt,Bäle-Ville,Basilea Città,https://www.termdat.ch/entry/109532
13,BL,Basel-Landschaft,Bäle-Campagne,Basilea-Campagna,https://www.termdat.ch/entry/109533
14,SH,Schaffhausen,Schaffhouse,Sciaffusa,https://www.termdat.ch/entry/109534
15,AR,Appenzell Ausserrhoden,Appenzell Rhodes-Exterieures,Appenzello Esterno,https://www.termdat.ch/entry/109535
16,AI,Appenzell Innerhoden,Appenzell Rhodes-Intérieures,Appenzello Interno,https://www.termdat.ch/entry/109536
17,SG,St. Gallen,Saint-Gall,San Gallo,https://www.termdat.ch/entry/109537
18,GR,Graubünden,Grisons,Grigoni,https://www.termdat.ch/entry/109538
19,AG,Aargau,Argovie,Argovia,https://www.termdat.ch/entry/109539
20,TG,Thurgau,Thurgovie,Turgovia,https://www.termdat.ch/entry/109540
21,TI,Tessin,Tessin,Ticino,https://www.termdat.ch/entry/109541
22,VD,Waadt,Vaud,Vaud,https://www.termdat.ch/entry/109542
23,VS,Wallis,Valais,Vallese,https://www.termdat.ch/entry/109542
24,NE,Neuenburg,Neuchâtel,Neuchâtel,https://www.termdat.ch/entry/109544
25,GE,Genf,Genève,Ginevra,https://www.termdat.ch/entry/109545
26,JU,Jura,Jura,Giura,https://www.termdat.ch/entry/109546
